Units are S.I. units (second, meters, Newtons, ...)
Angles are in degrees.
name walk
datarows 101 
datacolumns 25 
range 0  2.0
endheader
time Pelvis_PX Pelvis_PY Pelvis_PZ Pelvis_X Pelvis_Y Pelvis_Z FemurR_X FemurR_Y FemurR_Z FemurL_X FemurL_Y FemurL_Z TibiaR_X TibiaR_Y TibiaR_Z TibiaL_X TibiaL_Y TibiaL_Z TalusR_X TalusR_Y TalusR_Z TalusL_X TalusL_Y TalusL_Z
19.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.31672 -4.20136 23.11900 -3.30651 -6.04764 17.96920 1.25990 -12.54550 8.89495 1.92412 -11.48960 53.78580 -5.34235 3.31878 2.22051 -2.69327 11.61990 -10.44700
20.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.36628 -4.48356 22.42550 -3.12222 -5.18131 19.60900 1.20527 -11.92790 8.83159 2.55873 -12.79830 55.61490 -5.39218 3.21675 2.72190 -2.68615 11.39320 -9.04870
21.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.40392 -4.90313 21.67360 -2.89424 -4.44931 21.08340 1.09141 -11.32450 8.73791 3.16983 -14.06570 56.97980 -5.41698 3.30254 3.19637 -2.72263 11.22160 -7.63447
22.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.39081 -5.46927 20.85380 -2.59794 -3.86178 22.41660 0.93450 -10.66460 8.60628 3.73291 -15.15560 57.91780 -5.41358 3.50982 3.63776 -2.78111 11.00310 -6.22871
23.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.31968 -6.17446 19.97190 -2.23758 -3.39045 23.63950 0.75007 -9.86032 8.44319 4.25807 -16.01890 58.45550 -5.37625 3.73210 4.04900 -2.86883 10.68550 -4.79560
24.00000 0.00000 0.00000 0.00000 0.00000 0.00000 0.00000 2.21143 -6.99831 19.04400 -1.83779 -3.00445 24.78040 0.55027 -8.87336 8.25359 4.75265 -16.69790 58.59830 -5.30066 3.89445 4.43631 -2.97065 10.28660 -3.34716
25.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 2.08854 -7.88406 18.08980 -1.42703 -2.65695 25.87450 0.35161 -7.76843 8.03058 5.22474 -17.29130 58.34750 -5.19038 3.99733 4.80348 -3.02619 9.84405 -1.95268
26.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 1.95907 -8.74222 17.13340 -1.02114 -2.29725 26.95080 0.17495 -6.69040 7.76478 5.68797 -17.89140 57.70500 -5.05149 4.09213 5.15843 -2.96572 9.37426 -0.68209
27.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 1.81846 -9.49509 16.20090 -0.62148 -1.90389 28.02120 0.03775 -5.78451 7.45559 6.15375 -18.52080 56.67360 -4.88486 4.23802 5.51031 -2.80364 8.86186 0.44367
28.00000 0.00000 0.00000 0.00000 -0.00000 0.00000 0.00000 1.65909 -10.10680 15.31740 -0.22863 -1.48163 29.08560 -0.05320 -5.10807 7.11717 6.62353 -19.14750 55.26650 -4.69634 4.44499 5.86250 -2.63664 8.30086 1.44700
